date,hour,category,visitors
2026-09-22,10,Jeans,8
2026-09-22,11,Jeans,10
2026-09-22,12,Jeans,16
2026-09-22,13,Jeans,18
2026-09-22,14,Jeans,12
2026-09-22,15,Jeans,9
2026-09-22,16,Jeans,8
2026-09-22,17,Jeans,14
2026-09-22,18,Jeans,20
2026-09-22,19,Jeans,13
2026-09-22,10,Chinos,3
2026-09-22,11,Chinos,7
2026-09-22,12,Chinos,10
2026-09-22,13,Chinos,10
2026-09-22,14,Chinos,8
2026-09-22,15,Chinos,3
2026-09-22,16,Chinos,8
2026-09-22,17,Chinos,12
2026-09-22,18,Chinos,7
2026-09-22,19,Chinos,13
2026-09-22,10,Formal Wear,5
2026-09-22,11,Formal Wear,4
2026-09-22,12,Formal Wear,8
2026-09-22,13,Formal Wear,4
2026-09-22,14,Formal Wear,5
2026-09-22,15,Formal Wear,3
2026-09-22,16,Formal Wear,6
2026-09-22,17,Formal Wear,4
2026-09-22,18,Formal Wear,10
2026-09-22,19,Formal Wear,6
2026-09-22,10,Womenswear,7
2026-09-22,11,Womenswear,15
2026-09-22,12,Womenswear,10
2026-09-22,13,Womenswear,17
2026-09-22,14,Womenswear,10
2026-09-22,15,Womenswear,11
2026-09-22,16,Womenswear,7
2026-09-22,17,Womenswear,18
2026-09-22,18,Womenswear,22
2026-09-22,19,Womenswear,11
2026-09-22,10,Kidswear,6
2026-09-22,11,Kidswear,4
2026-09-22,12,Kidswear,8
2026-09-22,13,Kidswear,13
2026-09-22,14,Kidswear,5
2026-09-22,15,Kidswear,6
2026-09-22,16,Kidswear,3
2026-09-22,17,Kidswear,5
2026-09-22,18,Kidswear,9
2026-09-22,19,Kidswear,7
