date,hour,category,size,units_sold,transactions
2026-09-22,10,Jeans,XS,2,1
2026-09-22,10,Jeans,S,1,1
2026-09-22,10,Jeans,M,1,1
2026-09-22,10,Jeans,L,0,1
2026-09-22,10,Jeans,XL,0,1
2026-09-22,10,Jeans,XXL,0,1
2026-09-22,11,Jeans,XS,0,5
2026-09-22,11,Jeans,S,0,5
2026-09-22,11,Jeans,M,3,5
2026-09-22,11,Jeans,L,1,5
2026-09-22,11,Jeans,XL,0,5
2026-09-22,11,Jeans,XXL,1,5
2026-09-22,12,Jeans,XS,0,3
2026-09-22,12,Jeans,S,1,3
2026-09-22,12,Jeans,M,1,3
2026-09-22,12,Jeans,L,3,3
2026-09-22,12,Jeans,XL,0,3
2026-09-22,12,Jeans,XXL,0,3
2026-09-22,13,Jeans,XS,0,4
2026-09-22,13,Jeans,S,0,4
2026-09-22,13,Jeans,M,4,4
2026-09-22,13,Jeans,L,2,4
2026-09-22,13,Jeans,XL,1,4
2026-09-22,13,Jeans,XXL,1,4
2026-09-22,14,Jeans,XS,0,2
2026-09-22,14,Jeans,S,1,2
2026-09-22,14,Jeans,M,2,2
2026-09-22,14,Jeans,L,2,2
2026-09-22,14,Jeans,XL,3,2
2026-09-22,14,Jeans,XXL,0,2
2026-09-22,15,Jeans,XS,0,4
2026-09-22,15,Jeans,S,0,4
2026-09-22,15,Jeans,M,3,4
2026-09-22,15,Jeans,L,2,4
2026-09-22,15,Jeans,XL,1,4
2026-09-22,15,Jeans,XXL,0,4
2026-09-22,16,Jeans,XS,0,3
2026-09-22,16,Jeans,S,2,3
2026-09-22,16,Jeans,M,1,3
2026-09-22,16,Jeans,L,0,3
2026-09-22,16,Jeans,XL,0,3
2026-09-22,16,Jeans,XXL,0,3
2026-09-22,17,Jeans,XS,0,5
2026-09-22,17,Jeans,S,1,5
2026-09-22,17,Jeans,M,1,5
2026-09-22,17,Jeans,L,1,5
2026-09-22,17,Jeans,XL,1,5
2026-09-22,17,Jeans,XXL,1,5
2026-09-22,18,Jeans,XS,0,2
2026-09-22,18,Jeans,S,1,2
2026-09-22,18,Jeans,M,0,2
2026-09-22,18,Jeans,L,1,2
2026-09-22,18,Jeans,XL,1,2
2026-09-22,18,Jeans,XXL,1,2
2026-09-22,19,Jeans,XS,0,6
2026-09-22,19,Jeans,S,2,6
2026-09-22,19,Jeans,M,3,6
2026-09-22,19,Jeans,L,4,6
2026-09-22,19,Jeans,XL,0,6
2026-09-22,19,Jeans,XXL,0,6
2026-09-22,10,Chinos,XS,1,3
2026-09-22,10,Chinos,S,0,3
2026-09-22,10,Chinos,M,0,3
2026-09-22,10,Chinos,L,1,3
2026-09-22,10,Chinos,XL,1,3
2026-09-22,10,Chinos,XXL,0,3
2026-09-22,11,Chinos,XS,0,3
2026-09-22,11,Chinos,S,0,3
2026-09-22,11,Chinos,M,3,3
2026-09-22,11,Chinos,L,0,3
2026-09-22,11,Chinos,XL,0,3
2026-09-22,11,Chinos,XXL,0,3
2026-09-22,12,Chinos,XS,1,3
2026-09-22,12,Chinos,S,0,3
2026-09-22,12,Chinos,M,0,3
2026-09-22,12,Chinos,L,1,3
2026-09-22,12,Chinos,XL,3,3
2026-09-22,12,Chinos,XXL,0,3
2026-09-22,13,Chinos,XS,0,4
2026-09-22,13,Chinos,S,0,4
2026-09-22,13,Chinos,M,2,4
2026-09-22,13,Chinos,L,3,4
2026-09-22,13,Chinos,XL,0,4
2026-09-22,13,Chinos,XXL,0,4
2026-09-22,14,Chinos,XS,1,3
2026-09-22,14,Chinos,S,0,3
2026-09-22,14,Chinos,M,0,3
2026-09-22,14,Chinos,L,1,3
2026-09-22,14,Chinos,XL,1,3
2026-09-22,14,Chinos,XXL,0,3
2026-09-22,15,Chinos,XS,0,1
2026-09-22,15,Chinos,S,0,1
2026-09-22,15,Chinos,M,0,1
2026-09-22,15,Chinos,L,0,1
2026-09-22,15,Chinos,XL,0,1
2026-09-22,15,Chinos,XXL,1,1
2026-09-22,16,Chinos,XS,0,1
2026-09-22,16,Chinos,S,1,1
2026-09-22,16,Chinos,M,0,1
2026-09-22,16,Chinos,L,0,1
2026-09-22,16,Chinos,XL,0,1
2026-09-22,16,Chinos,XXL,0,1
2026-09-22,17,Chinos,XS,2,3
2026-09-22,17,Chinos,S,1,3
2026-09-22,17,Chinos,M,0,3
2026-09-22,17,Chinos,L,0,3
2026-09-22,17,Chinos,XL,1,3
2026-09-22,17,Chinos,XXL,0,3
2026-09-22,18,Chinos,XS,0,1
2026-09-22,18,Chinos,S,2,1
2026-09-22,18,Chinos,M,0,1
2026-09-22,18,Chinos,L,0,1
2026-09-22,18,Chinos,XL,0,1
2026-09-22,18,Chinos,XXL,0,1
2026-09-22,19,Chinos,XS,0,1
2026-09-22,19,Chinos,S,0,1
2026-09-22,19,Chinos,M,0,1
2026-09-22,19,Chinos,L,0,1
2026-09-22,19,Chinos,XL,1,1
2026-09-22,19,Chinos,XXL,0,1
2026-09-22,10,Formal Wear,XS,0,1
2026-09-22,10,Formal Wear,S,0,1
2026-09-22,10,Formal Wear,M,2,1
2026-09-22,10,Formal Wear,L,0,1
2026-09-22,10,Formal Wear,XL,0,1
2026-09-22,10,Formal Wear,XXL,0,1
2026-09-22,11,Formal Wear,XS,0,1
2026-09-22,11,Formal Wear,S,0,1
2026-09-22,11,Formal Wear,M,0,1
2026-09-22,11,Formal Wear,L,1,1
2026-09-22,11,Formal Wear,XL,0,1
2026-09-22,11,Formal Wear,XXL,0,1
2026-09-22,12,Formal Wear,XS,0,1
2026-09-22,12,Formal Wear,S,0,1
2026-09-22,12,Formal Wear,M,1,1
2026-09-22,12,Formal Wear,L,0,1
2026-09-22,12,Formal Wear,XL,0,1
2026-09-22,12,Formal Wear,XXL,0,1
2026-09-22,13,Formal Wear,XS,0,4
2026-09-22,13,Formal Wear,S,1,4
2026-09-22,13,Formal Wear,M,4,4
2026-09-22,13,Formal Wear,L,1,4
2026-09-22,13,Formal Wear,XL,1,4
2026-09-22,13,Formal Wear,XXL,0,4
2026-09-22,14,Formal Wear,XS,0,2
2026-09-22,14,Formal Wear,S,0,2
2026-09-22,14,Formal Wear,M,1,2
2026-09-22,14,Formal Wear,L,1,2
2026-09-22,14,Formal Wear,XL,0,2
2026-09-22,14,Formal Wear,XXL,0,2
2026-09-22,15,Formal Wear,XS,0,3
2026-09-22,15,Formal Wear,S,0,3
2026-09-22,15,Formal Wear,M,2,3
2026-09-22,15,Formal Wear,L,2,3
2026-09-22,15,Formal Wear,XL,0,3
2026-09-22,15,Formal Wear,XXL,0,3
2026-09-22,16,Formal Wear,XS,0,0
2026-09-22,16,Formal Wear,S,0,0
2026-09-22,16,Formal Wear,M,0,0
2026-09-22,16,Formal Wear,L,0,0
2026-09-22,16,Formal Wear,XL,0,0
2026-09-22,16,Formal Wear,XXL,0,0
2026-09-22,17,Formal Wear,XS,1,3
2026-09-22,17,Formal Wear,S,1,3
2026-09-22,17,Formal Wear,M,0,3
2026-09-22,17,Formal Wear,L,0,3
2026-09-22,17,Formal Wear,XL,0,3
2026-09-22,17,Formal Wear,XXL,1,3
2026-09-22,18,Formal Wear,XS,0,2
2026-09-22,18,Formal Wear,S,1,2
2026-09-22,18,Formal Wear,M,2,2
2026-09-22,18,Formal Wear,L,1,2
2026-09-22,18,Formal Wear,XL,0,2
2026-09-22,18,Formal Wear,XXL,0,2
2026-09-22,19,Formal Wear,XS,0,1
2026-09-22,19,Formal Wear,S,0,1
2026-09-22,19,Formal Wear,M,1,1
2026-09-22,19,Formal Wear,L,0,1
2026-09-22,19,Formal Wear,XL,0,1
2026-09-22,19,Formal Wear,XXL,0,1
2026-09-22,10,Womenswear,XS,0,4
2026-09-22,10,Womenswear,S,0,4
2026-09-22,10,Womenswear,M,3,4
2026-09-22,10,Womenswear,L,1,4
2026-09-22,10,Womenswear,XL,0,4
2026-09-22,10,Womenswear,XXL,0,4
2026-09-22,11,Womenswear,XS,1,6
2026-09-22,11,Womenswear,S,1,6
2026-09-22,11,Womenswear,M,0,6
