date,hour,category,size,units_remaining
2026-09-22,10,Jeans,XS,13
2026-09-22,10,Jeans,S,19
2026-09-22,10,Jeans,M,24
2026-09-22,10,Jeans,L,22
2026-09-22,10,Jeans,XL,15
2026-09-22,10,Jeans,XXL,10
2026-09-22,11,Jeans,XS,13
2026-09-22,11,Jeans,S,19
2026-09-22,11,Jeans,M,21
2026-09-22,11,Jeans,L,21
2026-09-22,11,Jeans,XL,15
2026-09-22,11,Jeans,XXL,9
2026-09-22,12,Jeans,XS,13
2026-09-22,12,Jeans,S,18
2026-09-22,12,Jeans,M,20
2026-09-22,12,Jeans,L,18
2026-09-22,12,Jeans,XL,15
2026-09-22,12,Jeans,XXL,9
2026-09-22,13,Jeans,XS,13
2026-09-22,13,Jeans,S,18
2026-09-22,13,Jeans,M,16
2026-09-22,13,Jeans,L,16
2026-09-22,13,Jeans,XL,14
2026-09-22,13,Jeans,XXL,8
2026-09-22,14,Jeans,XS,13
2026-09-22,14,Jeans,S,17
2026-09-22,14,Jeans,M,14
2026-09-22,14,Jeans,L,14
2026-09-22,14,Jeans,XL,11
2026-09-22,14,Jeans,XXL,8
2026-09-22,15,Jeans,XS,13
2026-09-22,15,Jeans,S,17
2026-09-22,15,Jeans,M,11
2026-09-22,15,Jeans,L,12
2026-09-22,15,Jeans,XL,10
2026-09-22,15,Jeans,XXL,8
2026-09-22,16,Jeans,XS,13
2026-09-22,16,Jeans,S,15
2026-09-22,16,Jeans,M,10
2026-09-22,16,Jeans,L,12
2026-09-22,16,Jeans,XL,10
2026-09-22,16,Jeans,XXL,8
2026-09-22,17,Jeans,XS,13
2026-09-22,17,Jeans,S,14
2026-09-22,17,Jeans,M,9
2026-09-22,17,Jeans,L,11
2026-09-22,17,Jeans,XL,9
2026-09-22,17,Jeans,XXL,7
2026-09-22,18,Jeans,XS,13
2026-09-22,18,Jeans,S,13
2026-09-22,18,Jeans,M,9
2026-09-22,18,Jeans,L,10
2026-09-22,18,Jeans,XL,8
2026-09-22,18,Jeans,XXL,6
2026-09-22,19,Jeans,XS,13
2026-09-22,19,Jeans,S,11
2026-09-22,19,Jeans,M,6
2026-09-22,19,Jeans,L,6
2026-09-22,19,Jeans,XL,8
2026-09-22,19,Jeans,XXL,6
2026-09-22,10,Chinos,XS,14
2026-09-22,10,Chinos,S,15
2026-09-22,10,Chinos,M,5
2026-09-22,10,Chinos,L,5
2026-09-22,10,Chinos,XL,19
2026-09-22,10,Chinos,XXL,10
2026-09-22,11,Chinos,XS,14
2026-09-22,11,Chinos,S,15
